segment_id,timestamp,current_speed,free_flow_speed,travel_time,confidence,congestion_level,highway_type,length_km
95636908_36240962,2025-09-10T00:45:00,32.3,40,21,0.86,0.03,tertiary,0.19
95636908_4708819230,2025-09-10T00:45:00,52.1,60,17,0.84,0.03,primary,0.249
95636982_168581819,2025-09-10T00:45:00,55.9,60,10,0.89,0.03,primary,0.151
95637019_31674712,2025-09-10T00:45:00,49.9,60,730,0.82,0.03,primary,10.122
168574117_5622523770,2025-09-10T00:45:00,43.6,60,882,0.73,0.03,primary,10.677
168577454_168581819,2025-09-10T00:45:00,44.7,60,815,0.92,0.03,primary,10.122
168577454_36240966,2025-09-10T00:45:00,61.4,60,9,0.84,0.03,primary,0.151
168581819_95637019,2025-09-10T00:45:00,55.7,60,612,0.87,0.03,primary,9.481
168581819_1598717904,2025-09-10T00:45:00,66.0,60,36,0.91,0.03,primary,0.665
168585503_1289576526,2025-09-10T00:45:00,43.1,50,14,0.8,0.03,secondary,0.166
1235946200_1598717989,2025-09-10T00:45:00,29.1,40,8187,0.86,0.03,tertiary,66.243
1235946200_1235946208,2025-09-10T00:45:00,32.1,40,26,0.78,0.03,tertiary,0.229
1235946207_5246332238,2025-09-10T00:45:00,40.8,50,21,0.8,0.03,secondary,0.243
1235946208_36240962,2025-09-10T00:45:00,40.6,40,8399,0.89,0.03,tertiary,94.629
1235946208_1235946200,2025-09-10T00:45:00,34.7,40,24,0.92,0.03,tertiary,0.229
1289576526_168577454,2025-09-10T00:45:00,44.0,50,17,0.81,0.03,secondary,0.209
1472121865_31700878,2025-09-10T00:45:00,60.7,60,8,0.88,0.03,primary,0.138
1472131511_3684154039,2025-09-10T00:45:00,47.2,60,17,0.84,0.03,primary,0.225
1472142462_1472121865,2025-09-10T00:45:00,48.1,60,40,0.78,0.03,primary,0.531
1480437223_5246332227,2025-09-10T00:45:00,47.7,50,3752,0.95,0.03,secondary,49.712
1598717904_168574117,2025-09-10T00:45:00,45.3,60,38,0.88,0.03,primary,0.483
1598717989_4742766612,2025-09-10T00:45:00,27.6,40,20,0.83,0.03,tertiary,0.15
1598717989_1235946200,2025-09-10T00:45:00,32.6,40,7304,0.81,0.03,tertiary,66.243
1598718049_2339926122,2025-09-10T00:45:00,43.9,50,4920,0.81,0.03,secondary,59.939
1652204774_6959043879,2025-09-10T00:45:00,54.1,60,7,0.85,0.03,primary,0.106
2339926111_2339926113,2025-09-10T00:45:00,36.2,50,7384,0.8,0.03,secondary,74.278
2339926113_31674708,2025-09-10T00:45:00,41.1,50,958,0.89,0.03,secondary,10.95
2339926113_95636908,2025-09-10T00:45:00,55.3,60,15,0.8,0.03,primary,0.232
2339926116_2339926111,2025-09-10T00:45:00,44.1,50,17,0.89,0.03,secondary,0.211
2339926118_2339926116,2025-09-10T00:45:00,36.4,50,30,0.88,0.03,secondary,0.302
2339926122_35723968,2025-09-10T00:45:00,40.8,50,12,0.88,0.03,secondary,0.137
2339926123_2389029051,2025-09-10T00:45:00,40.3,50,13,0.76,0.03,secondary,0.142
2339926125_2339926123,2025-09-10T00:45:00,36.5,50,20,0.85,0.03,secondary,0.207
2389029051_2339926118,2025-09-10T00:45:00,44.8,50,20,0.8,0.03,secondary,0.249
4019886799_4707949582,2025-09-10T00:45:00,56.1,60,31,0.77,0.03,primary,0.482
4707949582_95637019,2025-09-10T00:45:00,52.4,60,46,0.79,0.03,primary,0.665
4708819230_95636982,2025-09-10T00:45:00,49.3,60,6107,0.85,0.03,primary,83.579
4742766612_36240960,2025-09-10T00:45:00,31.7,40,10175,0.83,0.03,tertiary,89.646
4742766612_1598717989,2025-09-10T00:45:00,32.5,40,17,0.82,0.03,tertiary,0.15
5109667999_31674707,2025-09-10T00:45:00,57.1,60,1098,0.79,0.03,primary,17.425
5109668001_95636900,2025-09-10T00:45:00,55.5,60,13,0.92,0.03,primary,0.208
5246332227_2339926125,2025-09-10T00:45:00,32.9,50,16,0.81,0.03,secondary,0.146
5246332238_35723960,2025-09-10T00:45:00,46.2,50,4728,0.84,0.03,secondary,60.637
5588108884_31674715,2025-09-10T00:45:00,38.5,50,16,0.82,0.03,secondary,0.174
5588108893_1652204774,2025-09-10T00:45:00,45.2,60,11,0.84,0.03,primary,0.142
5622523770_5196725569,2025-09-10T00:45:00,50.0,60,27,0.86,0.03,primary,0.369
5902583245_95636900,2025-09-10T00:45:00,45.1,50,879,0.83,0.03,secondary,11.017
5902583245_5109667999,2025-09-10T00:45:00,50.1,60,15,0.83,0.03,primary,0.211
6959043879_36240972,2025-09-10T00:45:00,54.8,60,9,0.83,0.03,primary,0.131
31674707_31700906,2025-09-10T01:00:00,54.2,60,40,0.95,0.03,primary,0.605
31674708_5902583245,2025-09-10T01:00:00,57.3,60,569,0.83,0.03,primary,9.062
31674711_36240967,2025-09-10T01:00:00,59.0,60,15,0.83,0.03,primary,0.25
31674712_168577454,2025-09-10T01:00:00,42.0,60,818,0.8,0.03,primary,9.537
31674712_5588108884,2025-09-10T01:00:00,35.5,50,21,0.83,0.03,secondary,0.208
31700878_5109668001,2025-09-10T01:00:00,52.8,60,41,0.93,0.03,primary,0.606
31700906_1472131511,2025-09-10T01:00:00,54.4,60,8,0.84,0.03,primary,0.123
35723955_1235946207,2025-09-10T01:00:00,40.2,50,19,0.74,0.03,secondary,0.208
35723960_35723963,2025-09-10T01:00:00,44.7,50,20,0.89,0.03,secondary,0.25
35723963_35723964,2025-09-10T01:00:00,37.2,50,14,0.91,0.03,secondary,0.142
35723964_1598718049,2025-09-10T01:00:00,38.4,50,20,0.83,0.03,secondary,0.208
36240960_4742766612,2025-09-10T01:00:00,36.9,40,8746,0.95,0.03,tertiary,89.646
36240962_1235946208,2025-09-10T01:00:00,35.3,40,9641,0.86,0.03,tertiary,94.629
36240962_95636908,2025-09-10T01:00:00,33.1,40,21,0.81,0.03,tertiary,0.19
36240966_31674711,2025-09-10T01:00:00,57.1,60,5225,0.81,0.03,primary,82.851
36240967_95636908,2025-09-10T01:00:00,35.0,40,938,0.83,0.03,tertiary,9.105
36240967_31674708,2025-09-10T01:00:00,55.2,60,15,0.87,0.03,primary,0.232
36240972_4019886799,2025-09-10T01:00:00,49.4,60,806,0.82,0.03,primary,11.067
95636900_35723955,2025-09-10T01:00:00,36.1,50,7396,0.8,0.03,secondary,74.165
95636900_2339926113,2025-09-10T01:00:00,50.4,60,646,0.87,0.03,primary,9.04
95636908_36240967,2025-09-10T01:00:00,37.3,40,878,0.8,0.03,tertiary,9.105
95636908_36240962,2025-09-10T01:00:00,37.7,40,18,0.92,0.03,tertiary,0.19
